Opn_Id;TRet_Id;Defauls
2320;47;"Echappée de couture autre que glaçage : "
2020;06;Point mal réglé (aspect)
2370;67;Symétrie des mesures non respectés  > 3mm (transversale, Laminette décolleté, Barrettes, Bandes), sauf décolleté coque ou spacer voir tolérance fiche technique)
2210;45;Fourniture ou article coupé ou troué 
2108;08;Qualité des surpiqûres
2497;01;Mesures
2104;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2586;47;"Echappée de couture autre que glaçage : "
2254;44;Couture déformée, retournée
2330;21;"Echappée de couture glaçage "
1101;21;"Echappée de couture glaçage "
5049;72;"Décalage de couture côté >1mm  "
2110;64;"Point mal réglé (qui glisse) "
2399;72;"Décalage de couture côté >1mm  "
2133;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2301;08;Qualité des surpiqûres
5053;61;"Bretelle ou barrette vissée  "
5025;06;Point mal réglé (aspect)
2370;05;Point sauté ( 1 seul point et sauf recouvrement)
2280;64;"Point mal réglé (qui glisse) "
2051;71;"Non respect de cran ou de la ligne des creux   "
2190;45;Fourniture ou article coupé ou troué 
5072;72;"Décalage de couture côté >1mm  "
2331;74;Manque Accessoire
2124;20;"Grignage couture, Embu "
2088;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2104;49;"Point sauté >1 point sur la recouvrement "
2120;54;"Inversion Bonnets (devant/dos)  "
2345;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
2079;42;Mesures : Laminette décolleté, pinces, assemblage gorge, surpiqûre gorge, baleines dos : >ou <3mm hors tolérance 
1122;46;Craquage de couture 
2052;06;Point mal réglé (aspect)
2280;06;Point mal réglé (aspect)
2170;04;Défaut dentelle, broderie, fourniture
2123;06;Point mal réglé (aspect)
2316;72;"Décalage de couture côté >1mm  "
2106;47;"Echappée de couture autre que glaçage : "
2377;46;Craquage de couture 
2140;45;Fourniture ou article coupé ou troué 
2380;44;Couture déformée, retournée
2001;70;"Plis sur couture "
2238;54;"Inversion Bonnets (devant/dos)  "
2314;20;"Grignage couture, Embu "
2393;47;"Echappée de couture autre que glaçage : "
2361;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
2433;72;"Décalage de couture côté >1mm  "
2220;06;Point mal réglé (aspect)
2201;46;Craquage de couture 
2486;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2336;05;Point sauté ( 1 seul point et sauf recouvrement)
2070;54;"Inversion Bonnets (devant/dos)  "
2170;20;"Grignage couture, Embu "
2346;47;"Echappée de couture autre que glaçage : "
2200;64;"Point mal réglé (qui glisse) "
2191;54;"Inversion Bonnets (devant/dos)  "
2005;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
2370;11;"Solidité de la pose étiquette "
2370;49;"Point sauté >1 point sur la recouvrement "
2011;06;Point mal réglé (aspect)
2209;05;Point sauté ( 1 seul point et sauf recouvrement)
2310;47;"Echappée de couture autre que glaçage : "
2821;44;Couture déformée, retournée
5028;57;"Erreur taille armature  "
2072;75;Séparateur incliné
2339;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2221;46;Craquage de couture 
2115;09;Longueur point d’arrêt (sans échappé, sans trou, non coupé)
2340;08;Qualité des surpiqûres
"2184 ";72;"Décalage de couture côté >1mm  "
2074;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
5020;07;Bretelle mal positionnée sur SG autre que balconnet
5004;47;"Echappée de couture autre que glaçage : "
2074;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2110;06;Point mal réglé (aspect)
2531;03;Tâche, nuance coloris
2220;64;"Point mal réglé (qui glisse) "
2079;72;"Décalage de couture côté >1mm  "
2150;03;Tâche, nuance coloris
2581;70;"Plis sur couture "
2047;05;Point sauté ( 1 seul point et sauf recouvrement)
5053;03;Tâche, nuance coloris
2108;70;"Plis sur couture "
2579;47;"Echappée de couture autre que glaçage : "
5031;44;Couture déformée, retournée
2160;47;"Echappée de couture autre que glaçage : "
2086;45;Fourniture ou article coupé ou troué 
2244;20;"Grignage couture, Embu "
2124;04;Défaut dentelle, broderie, fourniture
2352;03;Tâche, nuance coloris
1111;45;Fourniture ou article coupé ou troué 
2324;04;Défaut dentelle, broderie, fourniture
2164;01;Mesures
2152;70;"Plis sur couture "
2301;70;"Plis sur couture "
2375;01;Mesures
2436;71;"Non respect de cran ou de la ligne des creux   "
2477;66;Symétrie des mesures non respectés >2mm (décoché)
2247;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2332;72;"Décalage de couture côté >1mm  "
2000;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2339;70;"Plis sur couture "
2245;72;"Décalage de couture côté >1mm  "
2340;06;Point mal réglé (aspect)
1520;65;"Point d’arrêt défectueux (non piqué) "
2493;45;Fourniture ou article coupé ou troué 
2355;64;"Point mal réglé (qui glisse) "
2004;09;Longueur point d’arrêt (sans échappé, sans trou, non coupé)
2073;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
2419;44;Couture déformée, retournée
2330;64;"Point mal réglé (qui glisse) "
2104;65;"Point d’arrêt défectueux (non piqué) "
5020;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
5020;75;Séparateur incliné
2287;65;"Point d’arrêt défectueux (non piqué) "
2474;22;"Nombre de points >1pt ou < 1pt par rapport au nombre de points demandé  "
2215;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
2185;05;Point sauté ( 1 seul point et sauf recouvrement)
2071;08;Qualité des surpiqûres
2048;47;"Echappée de couture autre que glaçage : "
2497;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
1111;03;Tâche, nuance coloris
2352;01;Mesures
2085;45;Fourniture ou article coupé ou troué 
2371;68;Symétrie >5mm (dessous de bras, basques, haut dos, cuisse)
2543;45;Fourniture ou article coupé ou troué 
6002;47;"Echappée de couture autre que glaçage : "
2030;54;"Inversion Bonnets (devant/dos)  "
2408;08;Qualité des surpiqûres
2396;48;Point sauté (à partir de 2 points) sur la même couture sauf recouvrement
2276;64;"Point mal réglé (qui glisse) "
5025;59;"Jeu d’armature > 1.5cm ou 0cm "
5044;58;"Armature inversée  "
2011;04;Défaut dentelle, broderie, fourniture
2144;46;Craquage de couture 
2380;72;"Décalage de couture côté >1mm  "
1118;70;"Plis sur couture "
1108;45;Fourniture ou article coupé ou troué 
2030;08;Qualité des surpiqûres
2210;47;"Echappée de couture autre que glaçage : "
2189;45;Fourniture ou article coupé ou troué 
2074;70;"Plis sur couture "
2221;20;"Grignage couture, Embu "
2050;71;"Non respect de cran ou de la ligne des creux   "
2388;54;"Inversion Bonnets (devant/dos)  "
2315;72;"Décalage de couture côté >1mm  "
1510;47;"Echappée de couture autre que glaçage : "
2301;68;Symétrie >5mm (dessous de bras, basques, haut dos, cuisse)
5025;66;Symétrie des mesures non respectés >2mm (décoché)
5004;63;"Point d’arrêt début ou fin de couture non fait "
2133;08;Qualité des surpiqûres
2474;45;Fourniture ou article coupé ou troué 
2005;49;"Point sauté >1 point sur la recouvrement "
2263;70;"Plis sur couture "
2215;73;"Vignette non conforme "
5050;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
2385;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
1565;61;"Bretelle ou barrette vissée  "
2325;48;Point sauté (à partir de 2 points) sur la même couture sauf recouvrement
2377;44;Couture déformée, retournée
2330;02;Mauvais épluchage (poste de dégarnissage)
2101;44;Couture déformée, retournée
2051;06;Point mal réglé (aspect)
2109;47;"Echappée de couture autre que glaçage : "
9091;54;"Inversion Bonnets (devant/dos)  "
2591;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2106;63;"Point d’arrêt début ou fin de couture non fait "
2050;70;"Plis sur couture "
2319;45;Fourniture ou article coupé ou troué 
2105;47;"Echappée de couture autre que glaçage : "
2051;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2088;54;"Inversion Bonnets (devant/dos)  "
2101;20;"Grignage couture, Embu "
2029;64;"Point mal réglé (qui glisse) "
2361;70;"Plis sur couture "
2276;46;Craquage de couture 
2221;44;Couture déformée, retournée
2371;06;Point mal réglé (aspect)
2032;64;"Point mal réglé (qui glisse) "
2150;01;Mesures
2127;44;Couture déformée, retournée
2318;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2140;03;Tâche, nuance coloris
2493;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
5050;49;"Point sauté >1 point sur la recouvrement "
2318;45;Fourniture ou article coupé ou troué 
2484;72;"Décalage de couture côté >1mm  "
5040;05;Point sauté ( 1 seul point et sauf recouvrement)
2254;72;"Décalage de couture côté >1mm  "
2200;46;Craquage de couture 
2007;47;"Echappée de couture autre que glaçage : "
5030;45;Fourniture ou article coupé ou troué 
2088;08;Qualité des surpiqûres
2191;61;"Bretelle ou barrette vissée  "
2319;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2152;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2074;54;"Inversion Bonnets (devant/dos)  "
2201;44;Couture déformée, retournée
2016;45;Fourniture ou article coupé ou troué 
"2337 ";47;"Echappée de couture autre que glaçage : "
2375;73;"Vignette non conforme "
5037;62;"Pose agrafage sans point d’arrêt "
2285;72;"Décalage de couture côté >1mm  "
2190;47;"Echappée de couture autre que glaçage : "
2011;48;Point sauté (à partir de 2 points) sur la même couture sauf recouvrement
2301;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2474;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2389;70;"Plis sur couture "
2030;70;"Plis sur couture "
2124;64;"Point mal réglé (qui glisse) "
2352;63;"Point d’arrêt début ou fin de couture non fait "
2517;45;Fourniture ou article coupé ou troué 
2108;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
1122;44;Couture déformée, retournée
5020;45;Fourniture ou article coupé ou troué 
2388;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
2029;46;Craquage de couture 
2408;70;"Plis sur couture "
2201;20;"Grignage couture, Embu "
2322;70;"Plis sur couture "
2397;46;Craquage de couture 
2071;70;"Plis sur couture "
5020;22;"Nombre de points >1pt ou < 1pt par rapport au nombre de points demandé  "
2324;46;Craquage de couture 
2244;64;"Point mal réglé (qui glisse) "
2325;06;Point mal réglé (aspect)
2086;47;"Echappée de couture autre que glaçage : "
2117;05;Point sauté ( 1 seul point et sauf recouvrement)
2473;49;"Point sauté >1 point sur la recouvrement "
2256;49;"Point sauté >1 point sur la recouvrement "
2248;45;Fourniture ou article coupé ou troué 
2032;46;Craquage de couture 
2824;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2218;68;Symétrie >5mm (dessous de bras, basques, haut dos, cuisse)
5040;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
2444;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
5054;60;"Bretelle mal positionnée sur balconnet "
2201;74;Manque Accessoire
2095;47;"Echappée de couture autre que glaçage : "
2330;46;Craquage de couture 
2052;04;Défaut dentelle, broderie, fourniture
2170;02;Mauvais épluchage (poste de dégarnissage)
2241;06;Point mal réglé (aspect)
5053;63;"Point d’arrêt début ou fin de couture non fait "
2088;70;"Plis sur couture "
2074;71;"Non respect de cran ou de la ligne des creux   "
2165;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
2215;01;Mesures
2450;47;"Echappée de couture autre que glaçage : "
5060;72;"Décalage de couture côté >1mm  "
5035;06;Point mal réglé (aspect)
5040;49;"Point sauté >1 point sur la recouvrement "
2362;04;Défaut dentelle, broderie, fourniture
5020;10;"L’armature non poussée "
1557;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2493;75;Séparateur incliné
2238;70;"Plis sur couture "
2411;71;"Non respect de cran ou de la ligne des creux   "
1111;47;"Echappée de couture autre que glaçage : "
5020;67;Symétrie des mesures non respectés  > 3mm (transversale, Laminette décolleté, Barrettes, Bandes), sauf décolleté coque ou spacer voir tolérance fiche technique)
2324;64;"Point mal réglé (qui glisse) "
2133;70;"Plis sur couture "
2300;54;"Inversion Bonnets (devant/dos)  "
5999;09;Longueur point d’arrêt (sans échappé, sans trou, non coupé)
2339;71;"Non respect de cran ou de la ligne des creux   "
5031;72;"Décalage de couture côté >1mm  "
2411;70;"Plis sur couture "
2185;49;"Point sauté >1 point sur la recouvrement "
2040;01;Mesures
2140;47;"Echappée de couture autre que glaçage : "
2030;41;Mesures : Longueur goutte, longueur fente, largeur fond : > ou < 2mm hors tolérance 
2083;09;Longueur point d’arrêt (sans échappé, sans trou, non coupé)
2397;64;"Point mal réglé (qui glisse) "
2050;54;"Inversion Bonnets (devant/dos)  "
1544;65;"Point d’arrêt défectueux (non piqué) "
2331;20;"Grignage couture, Embu "
2170;64;"Point mal réglé (qui glisse) "
2320;03;Tâche, nuance coloris
2238;41;Mesures : Longueur goutte, longueur fente, largeur fond : > ou < 2mm hors tolérance 
2493;47;"Echappée de couture autre que glaçage : "
2318;65;"Point d’arrêt défectueux (non piqué) "
1565;70;"Plis sur couture "
2381;22;"Nombre de points >1pt ou < 1pt par rapport au nombre de points demandé  "
2020;46;Craquage de couture 
2210;05;Point sauté ( 1 seul point et sauf recouvrement)
2201;72;"Décalage de couture côté >1mm  "
2285;24;"Fil  > 3mm pour les postes à couper à ras "
2140;51;"Solidité des nœuds "
2221;64;"Point mal réglé (qui glisse) "
2276;66;Symétrie des mesures non respectés >2mm (décoché)
5033;63;"Point d’arrêt début ou fin de couture non fait "
2215;63;"Point d’arrêt début ou fin de couture non fait "
2385;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
2316;49;"Point sauté >1 point sur la recouvrement "
2370;45;Fourniture ou article coupé ou troué 
1108;47;"Echappée de couture autre que glaçage : "
5030;47;"Echappée de couture autre que glaçage : "
1122;72;"Décalage de couture côté >1mm  "
2318;47;"Echappée de couture autre que glaçage : "
2592;20;"Grignage couture, Embu "
2050;03;Tâche, nuance coloris
2445;71;"Non respect de cran ou de la ligne des creux   "
9091;70;"Plis sur couture "
2340;20;"Grignage couture, Embu "
2250;70;"Plis sur couture "
5040;57;"Erreur taille armature  "
2020;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2314;74;Manque Accessoire
2172;49;"Point sauté >1 point sur la recouvrement "
2183;49;"Point sauté >1 point sur la recouvrement "
2828;75;Séparateur incliné
2090;44;Couture déformée, retournée
2073;63;"Point d’arrêt début ou fin de couture non fait "
2338;63;"Point d’arrêt début ou fin de couture non fait "
2375;58;"Armature inversée  "
2315;04;Défaut dentelle, broderie, fourniture
2070;71;"Non respect de cran ou de la ligne des creux   "
2120;70;"Plis sur couture "
2164;03;Tâche, nuance coloris
2385;65;"Point d’arrêt défectueux (non piqué) "
2140;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
5054;61;"Bretelle ou barrette vissée  "
2276;44;Couture déformée, retournée
2444;01;Mesures
5020;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
5045;61;"Bretelle ou barrette vissée  "
2377;64;"Point mal réglé (qui glisse) "
2271;75;Séparateur incliné
2189;65;"Point d’arrêt défectueux (non piqué) "
2244;06;Point mal réglé (aspect)
2218;20;"Grignage couture, Embu "
1570;47;"Echappée de couture autre que glaçage : "
2346;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
5020;11;"Solidité de la pose étiquette "
2336;47;"Echappée de couture autre que glaçage : "
2388;70;"Plis sur couture "
2377;72;"Décalage de couture côté >1mm  "
2340;21;"Echappée de couture glaçage "
2095;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2280;08;Qualité des surpiqûres
2079;49;"Point sauté >1 point sur la recouvrement "
2418;72;"Décalage de couture côté >1mm  "
2189;47;"Echappée de couture autre que glaçage : "
2170;06;Point mal réglé (aspect)
2472;04;Défaut dentelle, broderie, fourniture
2105;05;Point sauté ( 1 seul point et sauf recouvrement)
5025;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2007;51;"Solidité des nœuds "
2220;08;Qualité des surpiqûres
2287;45;Fourniture ou article coupé ou troué 
2061;46;Craquage de couture 
2070;70;"Plis sur couture "
2221;72;"Décalage de couture côté >1mm  "
2218;54;"Inversion Bonnets (devant/dos)  "
1570;65;"Point d’arrêt défectueux (non piqué) "
2319;47;"Echappée de couture autre que glaçage : "
2396;46;Craquage de couture 
2474;47;"Echappée de couture autre que glaçage : "
TACHE;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2108;54;"Inversion Bonnets (devant/dos)  "
2085;47;"Echappée de couture autre que glaçage : "
2497;70;"Plis sur couture "
2363;72;"Décalage de couture côté >1mm  "
2355;44;Couture déformée, retournée
5999;02;Mauvais épluchage (poste de dégarnissage)
2210;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2330;44;Couture déformée, retournée
2104;45;Fourniture ou article coupé ou troué 
2127;64;"Point mal réglé (qui glisse) "
5031;04;Défaut dentelle, broderie, fourniture
5054;70;"Plis sur couture "
2314;44;Couture déformée, retournée
2094;45;Fourniture ou article coupé ou troué 
2031;20;"Grignage couture, Embu "
2419;72;"Décalage de couture côté >1mm  "
2365;49;"Point sauté >1 point sur la recouvrement "
2124;44;Couture déformée, retournée
2352;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
2324;44;Couture déformée, retournée
2325;54;"Inversion Bonnets (devant/dos)  "
2220;46;Craquage de couture 
2016;47;"Echappée de couture autre que glaçage : "
2194;08;Qualité des surpiqûres
2300;71;"Non respect de cran ou de la ligne des creux   "
2360;01;Mesures
2377;20;"Grignage couture, Embu "
1565;63;"Point d’arrêt début ou fin de couture non fait "
1557;45;Fourniture ou article coupé ou troué 
2209;45;Fourniture ou article coupé ou troué 
2011;46;Craquage de couture 
2452;20;"Grignage couture, Embu "
2005;22;"Nombre de points >1pt ou < 1pt par rapport au nombre de points demandé  "
2032;08;Qualité des surpiqûres
5072;02;Mauvais épluchage (poste de dégarnissage)
2191;63;"Point d’arrêt début ou fin de couture non fait "
2330;08;Qualité des surpiqûres
1122;06;Point mal réglé (aspect)
2170;74;Manque Accessoire
2280;46;Craquage de couture 
2331;72;"Décalage de couture côté >1mm  "
2300;70;"Plis sur couture "
2428;01;Mesures
2150;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
5050;55;"Erreur de taille de bonnet  "
2372;47;"Echappée de couture autre que glaçage : "
2325;21;"Echappée de couture glaçage "
2047;45;Fourniture ou article coupé ou troué 
5019;46;Craquage de couture 
5060;04;Défaut dentelle, broderie, fourniture
2375;63;"Point d’arrêt début ou fin de couture non fait "
2140;05;Point sauté ( 1 seul point et sauf recouvrement)
2380;04;Défaut dentelle, broderie, fourniture
2240;70;"Plis sur couture "
5020;65;"Point d’arrêt défectueux (non piqué) "
1122;64;"Point mal réglé (qui glisse) "
2164;41;Mesures : Longueur goutte, longueur fente, largeur fond : > ou < 2mm hors tolérance 
2336;45;Fourniture ou article coupé ou troué 
2826;42;Mesures : Laminette décolleté, pinces, assemblage gorge, surpiqûre gorge, baleines dos : >ou <3mm hors tolérance 
2127;06;Point mal réglé (aspect)
2330;66;Symétrie des mesures non respectés >2mm (décoché)
2096;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
5025;20;"Grignage couture, Embu "
2124;74;Manque Accessoire
2543;47;"Echappée de couture autre que glaçage : "
2385;47;"Echappée de couture autre que glaçage : "
2244;44;Couture déformée, retournée
2373;46;Craquage de couture 
2069;45;Fourniture ou article coupé ou troué 
2246;49;"Point sauté >1 point sur la recouvrement "
2248;47;"Echappée de couture autre que glaçage : "
2090;08;Qualité des surpiqûres
2190;05;Point sauté ( 1 seul point et sauf recouvrement)
2346;25;"Fil  > 1cm pour les postes sur machine coupe fil "
5050;22;"Nombre de points >1pt ou < 1pt par rapport au nombre de points demandé  "
2221;06;Point mal réglé (aspect)
2340;48;Point sauté (à partir de 2 points) sur la même couture sauf recouvrement
2589;46;Craquage de couture 
2828;45;Fourniture ou article coupé ou troué 
2074;03;Tâche, nuance coloris
2301;01;Mesures
5020;47;"Echappée de couture autre que glaçage : "
2164;70;"Plis sur couture "
2397;44;Couture déformée, retournée
2118;47;"Echappée de couture autre que glaçage : "
2362;46;Craquage de couture 
2170;44;Couture déformée, retournée
2201;64;"Point mal réglé (qui glisse) "
2101;06;Point mal réglé (aspect)
5031;59;"Jeu d’armature > 1.5cm ou 0cm "
2375;70;"Plis sur couture "
2140;67;Symétrie des mesures non respectés  > 3mm (transversale, Laminette décolleté, Barrettes, Bandes), sauf décolleté coque ou spacer voir tolérance fiche technique)
2452;21;"Echappée de couture glaçage "
5045;03;Tâche, nuance coloris
2377;06;Point mal réglé (aspect)
2037;45;Fourniture ou article coupé ou troué 
2397;72;"Décalage de couture côté >1mm  "
2276;06;Point mal réglé (aspect)
2592;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2314;72;"Décalage de couture côté >1mm  "
5054;63;"Point d’arrêt début ou fin de couture non fait "
2124;72;"Décalage de couture côté >1mm  "
2352;71;"Non respect de cran ou de la ligne des creux   "
2300;63;"Point d’arrêt début ou fin de couture non fait "
2061;44;Couture déformée, retournée
1600;75;Séparateur incliné
5040;22;"Nombre de points >1pt ou < 1pt par rapport au nombre de points demandé  "
2210;65;"Point d’arrêt défectueux (non piqué) "
2335;45;Fourniture ou article coupé ou troué 
2049;70;"Plis sur couture "
2090;06;Point mal réglé (aspect)
2318;05;Point sauté ( 1 seul point et sauf recouvrement)
2262;70;"Plis sur couture "
2211;71;"Non respect de cran ou de la ligne des creux   "
2190;73;"Vignette non conforme "
2030;48;Point sauté (à partir de 2 points) sur la même couture sauf recouvrement
2543;05;Point sauté ( 1 seul point et sauf recouvrement)
2020;21;"Echappée de couture glaçage "
2352;70;"Plis sur couture "
2104;47;"Echappée de couture autre que glaçage : "
2090;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2493;05;Point sauté ( 1 seul point et sauf recouvrement)
2004;49;"Point sauté >1 point sur la recouvrement "
2097;70;"Plis sur couture "
5004;51;"Solidité des nœuds "
2240;63;"Point d’arrêt début ou fin de couture non fait "
5049;62;"Pose agrafage sans point d’arrêt "
2200;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2007;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
1539;65;"Point d’arrêt défectueux (non piqué) "
2211;70;"Plis sur couture "
2110;20;"Grignage couture, Embu "
2150;71;"Non respect de cran ou de la ligne des creux   "
2287;47;"Echappée de couture autre que glaçage : "
2085;05;Point sauté ( 1 seul point et sauf recouvrement)
2544;73;"Vignette non conforme "
2185;22;"Nombre de points >1pt ou < 1pt par rapport au nombre de points demandé  "
2579;70;"Plis sur couture "
5053;70;"Plis sur couture "
2117;47;"Echappée de couture autre que glaçage : "
2331;64;"Point mal réglé (qui glisse) "
2040;03;Tâche, nuance coloris
2170;66;Symétrie des mesures non respectés >2mm (décoché)
5050;09;Longueur point d’arrêt (sans échappé, sans trou, non coupé)
2077;72;"Décalage de couture côté >1mm  "
2256;45;Fourniture ou article coupé ou troué 
5068;61;"Bretelle ou barrette vissée  "
TROU;02;Mauvais épluchage (poste de dégarnissage)
2011;20;"Grignage couture, Embu "
5040;45;Fourniture ou article coupé ou troué 
2393;70;"Plis sur couture "
1991;73;"Vignette non conforme "
5015;04;Défaut dentelle, broderie, fourniture
1510;65;"Point d’arrêt défectueux (non piqué) "
2330;72;"Décalage de couture côté >1mm  "
2031;54;"Inversion Bonnets (devant/dos)  "
2150;70;"Plis sur couture "
2504;45;Fourniture ou article coupé ou troué 
2005;09;Longueur point d’arrêt (sans échappé, sans trou, non coupé)
2474;05;Point sauté ( 1 seul point et sauf recouvrement)
2370;47;"Echappée de couture autre que glaçage : "
2355;72;"Décalage de couture côté >1mm  "
2325;08;Qualité des surpiqûres
2215;03;Tâche, nuance coloris
2291;49;"Point sauté >1 point sur la recouvrement "
2110;44;Couture déformée, retournée
2381;24;"Fil  > 3mm pour les postes à couper à ras "
2032;72;"Décalage de couture côté >1mm  "
2185;45;Fourniture ou article coupé ou troué 
2052;20;"Grignage couture, Embu "
2200;74;Manque Accessoire
2238;01;Mesures
1096;45;Fourniture ou article coupé ou troué 
2124;06;Point mal réglé (aspect)
2215;70;"Plis sur couture "
2087;70;"Plis sur couture "
2324;06;Point mal réglé (aspect)
2314;06;Point mal réglé (aspect)
2094;47;"Echappée de couture autre que glaçage : "
2325;46;Craquage de couture 
2373;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
